会社コード,業種名,和文社名,住所,電話,設立年月,lat,lon
760,機械,エピロックジャパン（株）,神奈川県横浜市都筑区川和町５０－１,045-933-6315,197906,35.5184558,139.5525155
2660,化学,東レ・デュポン（株）,東京都中央区日本橋本町１－１－１　ＭＥＴＬＩＦＥ日本橋本町ビル,03-3245-5081,196406,35.6850578,139.7764718
7840,電気機器卸売,（株）フィリップス・ジャパン,東京都港区港南２－１３－３７　フィリップスビル,03-3740-5112,195307,35.6281599,139.7451647
11530,機械,イートン（株）,東京都港区赤坂８－１１－３７　いちご乃木坂ビル,03-5786-2560,197410,35.6686445,139.7273141
100069,金属製品,プラクスエア工学（株）,埼玉県さいたま市浦和区高砂２－１－１６　浦和大熊ビル２階,048-825-7894,196006,35.8568134,139.6545953
100823,通信・放送,オレンジ・ジャパン（株）,東京都港区虎ノ門４－３－１　城山トラストタワー３４階,03-5733-9149,198905,35.6646397,139.7430889
100832,輸送用機器卸売,（株）マキシオンホイールズジャパン,神奈川県横浜市中区相生町６－１０４　横浜相生町ビル５階,045-680-5807,198710,35.4491344,139.6340913
101027,他製造業,メルセン・エフエムエー（株）,東京都新宿区西新宿２－７－１　小田急第一生命ビル１４階,03-5325-6311,198908,35.6915156,139.6913635
101097,他製造業,フレゼニウス川澄（株）,大分県豊後大野市犬飼町大寒３００,0975-78-1164,199005,33.0363987,131.6346626
103015,情報・システム・ソフト,エレクトロニック・アーツ（株）,東京都港区虎ノ門４－３－１　城山トラストタワー東京赤坂法律事務所内,－,199805,35.6646397,139.7430889
103143,他サービス,ウォルト・ディズニー・ジャパン（株）,東京都港区虎ノ門１－２３－１　虎ノ門ヒルズ森タワー,03-6752-2300,199105,35.6668216,139.7494178
104126,医薬品,東菱薬品工業（株）,東京都千代田区有楽町１－１０－１　有楽町ビル,03-3213-3771,195907,35.674941,139.7616168
104302,その他卸売,エイピーピー・ジャパン（株）,東京都品川区東五反田２－１０－２　東五反田スクエア１４階,03-5795-0021,199711,35.6247208,139.7272831
104515,その他卸売,メドトロニックソファモアダネック（株）,東京都港区港南１－２－７０　品川シーズンテラス,03-6774-4606,199601,35.6324899,139.743003
104523,貸金・信販・カード,ＣＦＪ合同会社,東京都新宿区新宿６－２７－３０　新宿イーストサイドスクエア８階,03-6776-8200,199506,35.696585,139.7088723
200306,医薬品卸売,ゲルベ・ジャパン（株）,東京都千代田区麹町６－４－６　ＴＳ麹町ＢＬＤＧ．２階,－,197812,35.6854606,139.7323452
200351,精密機器卸売,カボデンタルシステムズ（株）,東京都品川区北品川４－７－３５　御殿山トラストタワー１５階,0800-888-7480,198312,35.6221677,139.7370215
200617,鉄鋼・金属卸売,アレゲニー・テクノロジーズ・ジャパン（株）,東京都港区南青山２－２－３　ヒューリック青山外苑東通りビル５階,03-5770-3880,197110,35.6714265,139.7242502
200851,化学,ＡＳＫケミカルズジャパン（株）,神奈川県横浜市中区太田町４－５０　馬車道４５０ビル８階,045-227-8130,197312,35.4482885,139.636502
200993,ガラス・土石卸売,バカラパシフィック（株）,東京都港区虎ノ門１－２－８　虎ノ門琴平タワー２１階,03-5510-1451,198312,35.6695311,139.7483983
201228,化学,スリーエムジャパンプロダクツ（株）,東京都品川区北品川６－７－２９,03-6409-3800,197003,35.6237883,139.7338705
202198,化学,日本ペイント・オートモーティブコーティングス（株）,大阪府枚方市招提大谷２－１４－１,072-857-5530,197102,34.8347181,135.6959741
202395,精密機器卸売,エイエムオー・ジャパン（株）,東京都千代田区西神田３－５－２,03-4411-7800,198506,35.6982814,139.7528186
202559,他サービス,イー・エム・シー（株）,東京都中央区日本橋２－１３－１０　日本橋サンライズビル６階,03-3275-2333,198605,35.6804882,139.7755517
202611,貨物運送,フェデラルエクスプレスコーポレーション,千葉県千葉市美浜区中瀬２－６－１　ワールドビジネスガーデンマリブウエスト１０階,0120-003-200,197106,35.6488152,140.039604
202650,情報・システム・ソフト,ムーディーズ・ジャパン（株）,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー２０階,03-5408-4100,198504,35.6621409,139.7488929
204058,他サービス,ケイデンス・デザイン・システムズ（ジャパン）ビー・ヴィ,神奈川県横浜市港北区新横浜２－１００－４５　新横浜中央ビル１６階,045-475-2221,199703,35.507878,139.6174178
207114,輸送機器,ブローゼジャパン（株）,神奈川県横浜市西区みなとみらい３－７－１　オーシャンゲートみなとみらい１１階,050-3138-1390,199309,35.4580313,139.6343461
208103,他金融,タレットプレボン（株）,東京都港区赤坂２－１７－７　赤坂溜池タワー４階,03-5549-8100,198808,35.6711385,139.7392574
208500,情報・システム・ソフト,（株）ノートンライフロック,東京都港区赤坂１－１２－３２　アーク森ビル１２階,03-5114-4000,199409,35.6671134,139.740135
208638,情報・システム・ソフト,ＧＥデジタル・ジャパン（株）,東京都港区赤坂５－２－２０　赤坂パークビル,03-5544-3955,199403,35.6722095,139.7333495
208663,化学,アフトンケミカル・ジャパン（株）,東京都千代田区平河町２－１６－１　平河町森タワー７階,03-5210-4862,199202,35.6796395,139.7414382
209691,情報・システム・ソフト,ジェネシスクラウドサービス（株）,東京都港区虎ノ門４－１－１　神谷町トラストタワー２３階ＷｅＷｏｒｋ内,03-5989-1300,199705,35.6650161,139.7454071
209712,情報・システム・ソフト,スタンダード・アンド・プアーズ・インターナショナル・エル・エル・シー（日本支店）,東京都千代田区丸の内１－６－５　丸の内北口ビル２８階,03-4550-8000,198512,35.683938,139.7668852
